#Digilent WaveForms Scope FFT
#Device Name: Discovery2
#Serial Number: SN:210321AC1D4D
#Date Time: 2020-12-07 16:08:38.547

Frequency (Hz),Channel 1 (dBV),Channel 2 (dBV)
0.9360000000000001,-57.81846574370932,-93.86433755652189
0.9379999999999999,-56.64731820005734,-89.68749951095853
0.9399999999999999,-55.86293697254868,-86.58677139260951
0.9419999999999999,-55.08065360320973,-83.30525592824824
0.944,-54.49747537257502,-83.04211600926733
0.946,-53.74778967768165,-83.69481751491918
0.948,-53.37207184062783,-83.07878711946331
0.95,-53.11062393077395,-83.31729477651879
0.952,-53.14912368333371,-79.99319311423137
0.954,-54.07826887263735,-79.09844630381369
0.956,-56.6251014900019,-80.31708519410245
0.958,-60.04624216228364,-84.66449912922377
0.96,-65.07672231561094,-96.53568845476359
0.962,-61.14661475429352,-85.22283123742399
0.964,-57.73382346616223,-81.45239396967477
0.966,-54.47976242633829,-80.14309246941374
0.968,-52.97213619933472,-79.63825519956059
0.97,-52.24949543995417,-78.23716760230158
0.972,-51.83884465770948,-78.34102640224005
0.974,-52.3746178343464,-79.81251962493867
0.976,-53.11720056904791,-80.05159215064859
0.978,-53.41590626704934,-80.93177974505849
0.98,-55.09683689990791,-83.54913259728653
0.982,-56.37345574865121,-86.0595516547943
0.984,-57.00470190640797,-84.98951855917315
0.986,-59.35676736719976,-82.02102034161871
0.988,-62.45122875617653,-81.83679634455112
0.99,-63.34368860701841,-85.13411484390625
0.992,-72.76051700149438,-89.8736112954486
0.994,-71.33758125117332,-84.67598745016788
0.996,-59.22303610220191,-76.76804031323006
0.998,-56.10983004401788,-75.83429395951237
1,-55.59075878228137,-84.40765784535625
1.002,-50.42882130867479,-83.04695865862305
1.004,-49.55565566980908,-82.39000193193172
1.006,-49.24381532605457,-86.37458221228421
1.008,-49.09415792326382,-84.18613847085224
1.01,-50.10744123753689,-86.17715421156083
1.012,-52.23487703474451,-83.84934225049749
1.014,-55.79906787380765,-79.79576237582502
1.016,-67.37940451946041,-79.64711003288984
1.018,-55.63540862629517,-81.47518637770423
1.02,-50.63301751486172,-87.01918277901903
1.022,-47.44501141345195,-93.52147578947502
1.024,-45.27256176089928,-85.16975420956183
1.026,-44.65643564063083,-81.24560265485123
1.028,-44.56791035318233,-78.45021372487777
1.03,-45.02764006111219,-79.4959512960333
1.032,-46.1794010939773,-82.0809148492948
1.034,-48.04547480396023,-83.55888826871977
1.036,-50.13106495415688,-84.90267849083772
1.038,-52.89344196169863,-84.84439611023583
1.04,-55.85432579039214,-83.66752372641257
1.042,-59.67382858024162,-83.99333967227716
1.044,-59.42284086798288,-85.69828523561812
1.046,-55.83677394637965,-85.66784259066753
1.048,-54.54941855817323,-82.38630792577661
1.05,-53.31081333137274,-78.670453849328
1.052,-52.00176888115757,-78.91189770329066
1.054,-51.4474496559304,-82.13508829999975
1.056,-50.43074769293668,-87.9449875248817
1.058,-49.50315410616998,-96.02068296354449
1.06,-48.34736023167032,-88.02038974980229
1.062,-47.40910775029516,-91.14280875234512
1.064,-47.33246129795448,-90.64484738602968
1.066,-47.73853397864557,-88.9739622929558
1.068,-47.69246728714293,-92.91292424712984
1.07,-47.11757543129458,-94.84242899799449
1.072,-45.9171357859811,-91.52122394351139
1.074,-44.59185675175482,-89.79298467302917
1.076,-43.73640182106471,-85.32331200544597
1.078,-43.85872437130666,-82.20670125162003
1.08,-44.70207275413773,-82.00227298698562
1.082,-46.43925261421258,-88.2557380478096
1.084,-48.63496814104614,-92.58240220206781
1.086,-49.75727833618184,-85.54814340917885
1.088,-48.61776105339035,-83.41357735221473
1.09,-47.51672826759004,-80.58637996000417
1.092,-47.50992462227838,-79.95734009176027
1.094,-48.29823420995577,-81.13044655542222
1.096,-49.8660784363392,-83.52617850801472
1.098,-51.79191666465122,-90.78660412265394
1.1,-53.52079452237199,-92.37397378519245
1.102,-54.28121580030053,-88.83410877682535
1.104,-54.06541526558863,-89.76756303084068
1.106,-52.78212073143796,-91.41433926601637
1.108,-51.93429676720918,-90.42265250094475
1.11,-51.00141924214963,-90.2180262017729
1.112,-50.91517037526383,-89.98732281508096
1.114,-50.85654567044553,-88.36166006066281
1.116,-51.12510434544252,-89.81924385347058
1.118,-51.61373225768955,-92.1021030554099
1.12,-51.92046377385179,-100.8309414871413
1.122,-52.21854961066597,-89.60656413827992
1.124,-51.77446045464762,-83.86700913915986
1.126,-52.03103700015374,-82.56227238453945
1.128,-53.35339920536504,-83.48987928251017
1.13,-55.40362786389836,-85.44888638680463
1.132,-59.9129049320006,-86.13535461034485
1.134,-73.38698127506076,-85.66344378700072
1.136,-64.50238185126777,-85.41882665415783
1.138,-56.9960168179197,-86.44636001872387
1.14,-53.26305795687796,-90.93985952944173
1.142,-50.4722131930427,-91.85045656633181
1.144,-48.86080545595506,-88.3477800258664
1.146,-47.55376746612612,-93.33584039446433
1.148,-47.37775622502873,-92.10249872026526
1.15,-48.14639762008443,-87.04635357142644
1.152,-49.49832849285612,-85.49049105029034
1.154,-51.15386905566869,-83.40296869004581
1.156,-52.67054291981498,-85.89869229919437
1.158,-53.41941235577531,-89.80828492111814
1.16,-54.24177582389305,-86.75362626202121
1.162,-57.28805812993465,-84.8797694071263
1.164,-64.15491293076256,-85.23818360637677
1.166,-68.12440891948309,-86.52717827472728
1.168,-57.96209297897854,-88.41997154774918
1.17,-53.3217782449174,-91.29296409853754
1.172,-51.08278155564368,-92.69048329965113
1.174,-49.42076464380203,-96.25941586932585
1.176,-48.70208394452763,-96.72554510697658
1.178,-48.93684081241594,-88.89582159973648
1.18,-50.29287144037448,-86.28999480332155
1.182,-52.29580171681492,-87.69887208289791
1.184,-55.63150290558698,-90.60857848174737
1.186,-57.8130309594936,-102.5871556509716
1.188,-57.33409148818058,-87.14563487206559
1.19,-57.06580978862144,-83.23773739922498
1.192,-58.32758506653478,-84.82066441263201
1.194,-62.76381197309497,-90.71036795036294
1.196,-63.44648363642919,-89.500105255466
1.198,-57.96220010141842,-85.64835668846955
1.2,-54.533699338601,-84.90910383933456
1.202,-52.36299443888079,-86.01916344625594
